min_recall,equal_opportunity,accuracy,precision,recall,demographic_parity,recall_group_ Amer-Indian-Eskimo,recall_group_ Asian-Pac-Islander,recall_group_ Black,recall_group_ Other,recall_group_ White,threshold,iteration
1.0,0.0,0.23925061425061425,0.23925061425061425,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.7676767676767677,0
1.0,0.0,0.23925061425061425,0.23925061425061425,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.7777777777777778,0
0.9985855728429985,0.0014144271570014633,0.4044840294840295,0.2864506627393225,0.9987163029525032,0.17256922990507217,1.0,1.0,1.0,1.0,0.9985855728429985,0.787878787878788,0
0.9878048780487805,0.012195121951219523,0.5531326781326781,0.34806712616122265,0.9940094137783483,0.28762357467842503,1.0,0.9878048780487805,0.9911504424778761,1.0,0.9943422913719944,0.797979797979798,0
0.9090909090909091,0.09090909090909094,0.6172194922194922,0.3833610648918469,0.9858793324775353,0.277695472673145,0.9090909090909091,0.9634146341463414,0.9823008849557522,1.0,0.9872701555869873,0.8080808080808082,0
0.9090909090909091,0.09090909090909094,0.6601146601146601,0.41190177451156124,0.9833119383825417,0.2874024040891984,0.9090909090909091,0.9512195121951219,0.9734513274336283,1.0,0.9853842527109854,0.8181818181818182,0
0.8181818181818182,0.18181818181818177,0.683968058968059,0.4292185730464326,0.9730423620025674,0.28012132786609,0.8181818181818182,0.9512195121951219,0.9380530973451328,1.0,0.9764262140499764,0.8282828282828284,0
0.7272727272727273,0.2727272727272727,0.7039312039312039,0.44534173724640536,0.967479674796748,0.2859981463798236,0.7272727272727273,0.9512195121951219,0.9292035398230089,1.0,0.9712399811409712,0.8383838383838385,0
0.7272727272727273,0.2727272727272727,0.7205159705159705,0.4598405885959534,0.962772785622593,0.27072471857276625,0.7272727272727273,0.9390243902439024,0.9203539823008849,1.0,0.966996699669967,0.8484848484848485,0
0.7272727272727273,0.2727272727272727,0.7313677313677314,0.46978311223415453,0.9546427043217801,0.2660714066659306,0.7272727272727273,0.926829268292683,0.9203539823008849,1.0,0.9585101367279585,0.8585858585858587,0
0.7272727272727273,0.2727272727272727,0.7429361179361179,0.4811525129982669,0.9503637141634574,0.26422864124024037,0.7272727272727273,0.926829268292683,0.9203539823008849,1.0,0.9537953795379538,0.8686868686868687,0
0.7272727272727273,0.2727272727272727,0.7524570024570024,0.49096587106848094,0.9418057338468121,0.2671670504971072,0.7272727272727273,0.9146341463414634,0.911504424778761,1.0,0.9453088165959453,0.8787878787878789,0
0.6363636363636364,0.36363636363636365,0.7616707616707616,0.5010285714285714,0.9379546427043218,0.2593453350558894,0.6363636363636364,0.9146341463414634,0.911504424778761,1.0,0.9415370108439416,0.888888888888889,0
